,fishing_values_vec,r_value_vec,omega_value_vec,dispersal_value_vec,disturbance_prob_vec,disturbance_size_vec,disturbance_magnitude_vec,objective_vec,optimal_spacing,mean_objective_value
1,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.1,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.2,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.3,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.4,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.5,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.6,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.7,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.8,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.9,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.10,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.11,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.12,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.13,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.14,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.15,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.16,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.17,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.18,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.19,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.20,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.21,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.22,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.23,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.24,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.25,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.26,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.27,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.28,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.29,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.30,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.31,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.32,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.33,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.34,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.35,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.36,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.37,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.38,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.39,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.40,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.41,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.42,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.43,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.44,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.45,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.46,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.47,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.48,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.49,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.50,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.51,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.52,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.53,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.54,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.55,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.56,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.57,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.58,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.59,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.60,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.61,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.62,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.63,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.64,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.65,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.66,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.67,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.68,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.69,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.70,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.71,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.72,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.73,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.74,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.75,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.76,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.77,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.78,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.79,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.80,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.81,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.82,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.83,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.84,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.85,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.86,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.87,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.88,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.89,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.90,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.91,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.92,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.93,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.94,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.95,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.96,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.97,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.98,1,3,1.2,0.7,0,2,0.9,persistence,0,100
1.99,1,3,1.2,0.7,0,2,0.9,persistence,0,100
2,1,3,1.2,0.7,0.0025,2,0.9,persistence,0.5,100
2.1,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.2,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.3,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.4,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.5,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.6,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.7,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.8,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.9,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.10,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.11,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.12,1,3,1.2,0.7,0.0025,2,0.9,persistence,1.5,100
2.13,1,3,1.2,0.7,0.0025,2,0.9,persistence,0.5,100
2.14,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.15,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.16,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.17,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.18,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.19,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.20,1,3,1.2,0.7,0.0025,2,0.9,persistence,1.5,100
2.21,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.22,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.23,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.24,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.25,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.26,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.27,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.28,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.29,1,3,1.2,0.7,0.0025,2,0.9,persistence,1,100
2.30,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.31,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.32,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.33,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.34,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.35,1,3,1.2,0.7,0.0025,2,0.9,persistence,0.5,100
2.36,1,3,1.2,0.7,0.0025,2,0.9,persistence,1.5,100
2.37,1,3,1.2,0.7,0.0025,2,0.9,persistence,1,100
2.38,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.39,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.40,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.41,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.42,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.43,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.44,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.45,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.46,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.47,1,3,1.2,0.7,0.0025,2,0.9,persistence,0.5,100
2.48,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.49,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.50,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.51,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.52,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.53,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.54,1,3,1.2,0.7,0.0025,2,0.9,persistence,1.5,100
2.55,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.56,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.57,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.58,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.59,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.60,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.61,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.62,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.63,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.64,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.65,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.66,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.67,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.68,1,3,1.2,0.7,0.0025,2,0.9,persistence,1,100
2.69,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.70,1,3,1.2,0.7,0.0025,2,0.9,persistence,1,100
