,gamma,delta,optimal_spacing,mean_pop_size
1,0.000999999999999999,0.000999999999999999,2,0.02
2,0.201,0.000999999999999999,1,0.01
3,0.401,0.000999999999999999,1,0.01
4,0.601,0.000999999999999999,1,0
5,0.801,0.000999999999999999,1,0.01
6,0.000999999999999999,0.000999999999999999,1,0.03
7,0.201,0.000999999999999999,1,0.01
8,0.401,0.000999999999999999,3,0.01
9,0.601,0.000999999999999999,1,0
10,0.801,0.000999999999999999,1,0
11,0.000999999999999999,0.000999999999999999,1,0.01
12,0.201,0.000999999999999999,3,0.01
13,0.401,0.000999999999999999,1,0.01
14,0.601,0.000999999999999999,1,0.02
15,0.801,0.000999999999999999,1,0.01
16,0.000999999999999999,0.201,18,0.21
17,0.201,0.201,3,0.03
18,0.401,0.201,5,0.01
19,0.601,0.201,3,0.03
20,0.801,0.201,1,0.02
21,0.000999999999999999,0.201,13,0.29
22,0.201,0.201,1,0.01
23,0.401,0.201,6,0.02
24,0.601,0.201,2,0.02
25,0.801,0.201,2,0.01
26,0.000999999999999999,0.201,17,0.24
27,0.201,0.201,2,0.01
28,0.401,0.201,4,0.01
29,0.601,0.201,4,0.02
30,0.801,0.201,2,0.02
31,0.000999999999999999,0.401,19,0.55
32,0.201,0.401,18,0.06
33,0.401,0.401,10,0.04
34,0.601,0.401,2,0.01
35,0.801,0.401,13,0.03
36,0.000999999999999999,0.401,22,0.48
37,0.201,0.401,2,0.03
38,0.401,0.401,4,0.02
39,0.601,0.401,4,0.02
40,0.801,0.401,2,0.03
41,0.000999999999999999,0.401,16,0.51
42,0.201,0.401,9,0.04
43,0.401,0.401,1,0.02
44,0.601,0.401,11,0.02
45,0.801,0.401,5,0.01
46,0.000999999999999999,0.601,20,0.73
47,0.201,0.601,22,0.1
48,0.401,0.601,5,0.03
49,0.601,0.601,12,0.03
50,0.801,0.601,11,0.03
51,0.000999999999999999,0.601,24,0.76
52,0.201,0.601,11,0.1
53,0.401,0.601,10,0.03
54,0.601,0.601,9,0.03
55,0.801,0.601,7,0.02
56,0.000999999999999999,0.601,26,0.76
57,0.201,0.601,39,0.13
58,0.401,0.601,4,0.03
59,0.601,0.601,1,0.03
60,0.801,0.601,2,0.02
61,0.000999999999999999,0.801,32,0.94
62,0.201,0.801,42,0.44
63,0.401,0.801,6,0.05
64,0.601,0.801,2,0.02
65,0.801,0.801,11,0.03
66,0.000999999999999999,0.801,39,0.93
67,0.201,0.801,49,0.38
68,0.401,0.801,2,0.03
69,0.601,0.801,1,0.02
70,0.801,0.801,3,0.02
