,r1_vector,epsilon_vec,gamma_vector,delta_vector,prob_disturb_vec,severity_disturb_vec,omega_vec,optimal_spacing,prob_persistence
1,2,0.25,0.001,0.001,0.1,0.1,1,19,99.8425839148898
2,2,0.75,0.001,0.001,0.1,0.1,1,1,99.9255809814098
3,2,0.25,0.101,0.001,0.1,0.1,1,9,99.9081412736344
4,2,0.75,0.101,0.001,0.1,0.1,1,1,99.9403607670936
5,2,0.25,0.201,0.001,0.1,0.1,1,10,99.9226390358134
6,2,0.75,0.201,0.001,0.1,0.1,1,1,99.9483543262122
7,2,0.25,0.301,0.001,0.1,0.1,1,8,99.9278940938715
8,2,0.75,0.301,0.001,0.1,0.1,1,0,99.9526884461717
9,2,0.25,0.401,0.001,0.1,0.1,1,9,99.9304524188313
10,2,0.75,0.401,0.001,0.1,0.1,1,1,99.9511345880898
11,2,0.25,0.501,0.001,0.1,0.1,1,10,99.9392692358222
12,2,0.75,0.501,0.001,0.1,0.1,1,1,99.9513107047109
13,2,0.25,0.601,0.001,0.1,0.1,1,9,99.943150212534
14,2,0.75,0.601,0.001,0.1,0.1,1,1,99.951646824499
15,2,0.25,0.701,0.001,0.1,0.1,1,8,99.9449670282511
16,2,0.75,0.701,0.001,0.1,0.1,1,1,99.9537397969756
17,2,0.25,0.801,0.001,0.1,0.1,1,5,99.9427855166439
18,2,0.75,0.801,0.001,0.1,0.1,1,1,99.9538086423555
19,2,0.25,0.901,0.001,0.1,0.1,1,7,99.9447159080073
20,2,0.75,0.901,0.001,0.1,0.1,1,0,99.9506552526313
21,2,0.25,0.001,0.101,0.1,0.1,1,12,99.886591892746
22,2,0.75,0.001,0.101,0.1,0.1,1,8,99.8655484956344
23,2,0.25,0.101,0.101,0.1,0.1,1,16,99.8995675197799
24,2,0.75,0.101,0.101,0.1,0.1,1,5,99.9245733335998
25,2,0.25,0.201,0.101,0.1,0.1,1,17,99.9069167395368
26,2,0.75,0.201,0.101,0.1,0.1,1,4,99.9306807182228
27,2,0.25,0.301,0.101,0.1,0.1,1,12,99.9313966210312
28,2,0.75,0.301,0.101,0.1,0.1,1,5,99.9340168165444
29,2,0.25,0.401,0.101,0.1,0.1,1,9,99.9468730649117
30,2,0.75,0.401,0.101,0.1,0.1,1,7,99.9412115812264
31,2,0.25,0.501,0.101,0.1,0.1,1,10,99.9512564262563
32,2,0.75,0.501,0.101,0.1,0.1,1,5,99.9386320875795
33,2,0.25,0.601,0.101,0.1,0.1,1,13,99.9381888690541
34,2,0.75,0.601,0.101,0.1,0.1,1,4,99.9450422831595
35,2,0.25,0.701,0.101,0.1,0.1,1,10,99.9505954256581
36,2,0.75,0.701,0.101,0.1,0.1,1,4,99.9429924272761
37,2,0.25,0.801,0.101,0.1,0.1,1,8,99.9530000944109
38,2,0.75,0.801,0.101,0.1,0.1,1,4,99.9510830527315
39,2,0.25,0.901,0.101,0.1,0.1,1,10,99.9545731168997
40,2,0.75,0.901,0.101,0.1,0.1,1,3,99.9526055273408
41,2,0.25,0.001,0.201,0.1,0.1,1,17,99.8805020224976
