,r1_vector,epsilon_vec,gamma_vector,delta_vector,prob_disturb_vec,severity_disturb_vec,omega_vec,optimal_spacing,prob_persistence
1,2,0.5,0.1,0.01,0,0.9,1,0,0
2,2.5,0.5,0.1,0.01,0,0.9,1,0,0
3,3,0.5,0.1,0.01,0,0.9,1,0,0
4,2,0.5,0.1,0.01,0.1,0.9,1,13,0
5,2.5,0.5,0.1,0.01,0.1,0.9,1,3,0
6,3,0.5,0.1,0.01,0.1,0.9,1,0,0
7,2,0.5,0.1,0.01,0.2,0.9,1,23,0
8,2.5,0.5,0.1,0.01,0.2,0.9,1,16,0
9,3,0.5,0.1,0.01,0.2,0.9,1,10,0
10,2,0.5,0.1,0.01,0.3,0.9,1,31,0.38
11,2.5,0.5,0.1,0.01,0.3,0.9,1,26,0.01
12,3,0.5,0.1,0.01,0.3,0.9,1,19,0
13,2,0.5,0.1,0.01,0,0.7,1,0,0
14,2.5,0.5,0.1,0.01,0,0.7,1,0,0
15,3,0.5,0.1,0.01,0,0.7,1,0,0
16,2,0.5,0.1,0.01,0.1,0.7,1,0,0
17,2.5,0.5,0.1,0.01,0.1,0.7,1,0,0
18,3,0.5,0.1,0.01,0.1,0.7,1,0,0
19,2,0.5,0.1,0.01,0.2,0.7,1,1,0
20,2.5,0.5,0.1,0.01,0.2,0.7,1,0,0
21,3,0.5,0.1,0.01,0.2,0.7,1,0,0
22,2,0.5,0.1,0.01,0.3,0.7,1,13,0
23,2.5,0.5,0.1,0.01,0.3,0.7,1,1,0
24,3,0.5,0.1,0.01,0.3,0.7,1,0,0
25,2,0.5,0.1,0.01,0,0.5,1,0,0
26,2.5,0.5,0.1,0.01,0,0.5,1,0,0
27,3,0.5,0.1,0.01,0,0.5,1,0,0
28,2,0.5,0.1,0.01,0.1,0.5,1,0,0
29,2.5,0.5,0.1,0.01,0.1,0.5,1,0,0
30,3,0.5,0.1,0.01,0.1,0.5,1,0,0
31,2,0.5,0.1,0.01,0.2,0.5,1,0,0
32,2.5,0.5,0.1,0.01,0.2,0.5,1,0,0
33,3,0.5,0.1,0.01,0.2,0.5,1,0,0
34,2,0.5,0.1,0.01,0.3,0.5,1,0,0
35,2.5,0.5,0.1,0.01,0.3,0.5,1,0,0
36,3,0.5,0.1,0.01,0.3,0.5,1,0,0
37,2,0.5,0.1,0.01,0,0.9,1.3,0,0
38,2.5,0.5,0.1,0.01,0,0.9,1.3,0,0
39,3,0.5,0.1,0.01,0,0.9,1.3,0,0
40,2,0.5,0.1,0.01,0.1,0.9,1.3,0,1
41,2.5,0.5,0.1,0.01,0.1,0.9,1.3,40,0.66
42,3,0.5,0.1,0.01,0.1,0.9,1.3,21,0.16
43,2,0.5,0.1,0.01,0.2,0.9,1.3,0,1
44,2.5,0.5,0.1,0.01,0.2,0.9,1.3,0,1
45,3,0.5,0.1,0.01,0.2,0.9,1.3,23,0.89
46,2,0.5,0.1,0.01,0.3,0.9,1.3,0,1
47,2.5,0.5,0.1,0.01,0.3,0.9,1.3,0,1
48,3,0.5,0.1,0.01,0.3,0.9,1.3,0,1
49,2,0.5,0.1,0.01,0,0.7,1.3,0,0
50,2.5,0.5,0.1,0.01,0,0.7,1.3,0,0
51,3,0.5,0.1,0.01,0,0.7,1.3,0,0
52,2,0.5,0.1,0.01,0.1,0.7,1.3,9,0.98
53,2.5,0.5,0.1,0.01,0.1,0.7,1.3,16,0.07
54,3,0.5,0.1,0.01,0.1,0.7,1.3,12,0
55,2,0.5,0.1,0.01,0.2,0.7,1.3,0,1
56,2.5,0.5,0.1,0.01,0.2,0.7,1.3,17,0.84
57,3,0.5,0.1,0.01,0.2,0.7,1.3,17,0.07
58,2,0.5,0.1,0.01,0.3,0.7,1.3,0,1
59,2.5,0.5,0.1,0.01,0.3,0.7,1.3,0,1
60,3,0.5,0.1,0.01,0.3,0.7,1.3,22,0.56
61,2,0.5,0.1,0.01,0,0.5,1.3,0,0
62,2.5,0.5,0.1,0.01,0,0.5,1.3,0,0
63,3,0.5,0.1,0.01,0,0.5,1.3,0,0
64,2,0.5,0.1,0.01,0.1,0.5,1.3,7,0.75
65,2.5,0.5,0.1,0.01,0.1,0.5,1.3,1,0
66,3,0.5,0.1,0.01,0.1,0.5,1.3,0,0
67,2,0.5,0.1,0.01,0.2,0.5,1.3,0,1
68,2.5,0.5,0.1,0.01,0.2,0.5,1.3,20,0.02
69,3,0.5,0.1,0.01,0.2,0.5,1.3,3,0
70,2,0.5,0.1,0.01,0.3,0.5,1.3,0,1
71,2.5,0.5,0.1,0.01,0.3,0.5,1.3,20,0.43
72,3,0.5,0.1,0.01,0.3,0.5,1.3,12,0
73,2,0.5,0.1,0.01,0,0.9,1.6,0,0.46
74,2.5,0.5,0.1,0.01,0,0.9,1.6,0,0
75,3,0.5,0.1,0.01,0,0.9,1.6,0,0
76,2,0.5,0.1,0.01,0.1,0.9,1.6,0,1
77,2.5,0.5,0.1,0.01,0.1,0.9,1.6,9,0.99
78,3,0.5,0.1,0.01,0.1,0.9,1.6,35,0.75
79,2,0.5,0.1,0.01,0.2,0.9,1.6,0,1
80,2.5,0.5,0.1,0.01,0.2,0.9,1.6,0,1
81,3,0.5,0.1,0.01,0.2,0.9,1.6,0,1
82,2,0.5,0.1,0.01,0.3,0.9,1.6,0,1
83,2.5,0.5,0.1,0.01,0.3,0.9,1.6,0,1
84,3,0.5,0.1,0.01,0.3,0.9,1.6,0,1
85,2,0.5,0.1,0.01,0,0.7,1.6,0,0.41
86,2.5,0.5,0.1,0.01,0,0.7,1.6,0,0
87,3,0.5,0.1,0.01,0,0.7,1.6,0,0
88,2,0.5,0.1,0.01,0.1,0.7,1.6,0,1
89,2.5,0.5,0.1,0.01,0.1,0.7,1.6,15,0.89
90,3,0.5,0.1,0.01,0.1,0.7,1.6,27,0.1
91,2,0.5,0.1,0.01,0.2,0.7,1.6,0,1
92,2.5,0.5,0.1,0.01,0.2,0.7,1.6,0,1
93,3,0.5,0.1,0.01,0.2,0.7,1.6,27,0.79
94,2,0.5,0.1,0.01,0.3,0.7,1.6,0,1
95,2.5,0.5,0.1,0.01,0.3,0.7,1.6,0,1
96,3,0.5,0.1,0.01,0.3,0.7,1.6,0,1
97,2,0.5,0.1,0.01,0,0.5,1.6,0,0.48
98,2.5,0.5,0.1,0.01,0,0.5,1.6,0,0
99,3,0.5,0.1,0.01,0,0.5,1.6,0,0
100,2,0.5,0.1,0.01,0.1,0.5,1.6,0,1
101,2.5,0.5,0.1,0.01,0.1,0.5,1.6,6,0.27
102,3,0.5,0.1,0.01,0.1,0.5,1.6,9,0
103,2,0.5,0.1,0.01,0.2,0.5,1.6,0,1
104,2.5,0.5,0.1,0.01,0.2,0.5,1.6,16,0.93
105,3,0.5,0.1,0.01,0.2,0.5,1.6,20,0.02
106,2,0.5,0.1,0.01,0.3,0.5,1.6,0,1
107,2.5,0.5,0.1,0.01,0.3,0.5,1.6,0,1
108,3,0.5,0.1,0.01,0.3,0.5,1.6,26,0.4
