,disturbance_frequency,disturbance_mortality,optimal_spacing
1,0,0.95,1
2,0.02,0.95,34
3,0.04,0.95,30
4,0.06,0.95,26
5,0.08,0.95,1
6,0.1,0.95,7
7,0.12,0.95,1
8,0.14,0.95,1
9,0.16,0.95,1
10,0.18,0.95,1
11,0.2,0.95,1
12,0.22,0.95,1
13,0.24,0.95,1
14,0.26,0.95,1
15,0.28,0.95,1
16,0.3,0.95,1
17,0.32,0.95,1
18,0.34,0.95,1
19,0.36,0.95,1
20,0.38,0.95,1
21,0.4,0.95,1
22,0,0.95,1
23,0.02,0.95,29
24,0.04,0.95,32
25,0.06,0.95,27
26,0.08,0.95,27
27,0.1,0.95,1
28,0.12,0.95,1
29,0.14,0.95,1
30,0.16,0.95,1
31,0.18,0.95,1
32,0.2,0.95,1
33,0.22,0.95,1
34,0.24,0.95,1
35,0.26,0.95,1
36,0.28,0.95,1
37,0.3,0.95,1
38,0.32,0.95,1
39,0.34,0.95,1
40,0.36,0.95,1
41,0.38,0.95,1
42,0.4,0.95,1
43,0,0.95,1
44,0.02,0.95,36
45,0.04,0.95,29
46,0.06,0.95,24
47,0.08,0.95,23
48,0.1,0.95,8
49,0.12,0.95,1
50,0.14,0.95,1
51,0.16,0.95,1
52,0.18,0.95,1
53,0.2,0.95,1
54,0.22,0.95,1
55,0.24,0.95,1
56,0.26,0.95,1
57,0.28,0.95,1
58,0.3,0.95,1
59,0.32,0.95,1
60,0.34,0.95,1
61,0.36,0.95,1
62,0.38,0.95,1
63,0.4,0.95,1
64,0,0.95,1
65,0.02,0.95,35
66,0.04,0.95,27
67,0.06,0.95,27
68,0.08,0.95,23
69,0.1,0.95,1
70,0.12,0.95,1
71,0.14,0.95,1
72,0.16,0.95,1
73,0.18,0.95,1
74,0.2,0.95,1
75,0.22,0.95,1
76,0.24,0.95,1
77,0.26,0.95,1
78,0.28,0.95,1
79,0.3,0.95,1
80,0.32,0.95,1
81,0.34,0.95,1
82,0.36,0.95,1
83,0.38,0.95,1
84,0.4,0.95,1
85,0,0.95,1
86,0.02,0.95,26
87,0.04,0.95,27
88,0.06,0.95,26
89,0.08,0.95,1
90,0.1,0.95,1
91,0.12,0.95,1
92,0.14,0.95,1
93,0.16,0.95,1
94,0.18,0.95,1
95,0.2,0.95,1
96,0.22,0.95,1
97,0.24,0.95,1
98,0.26,0.95,1
99,0.28,0.95,1
100,0.3,0.95,1
101,0.32,0.95,1
102,0.34,0.95,1
103,0.36,0.95,1
104,0.38,0.95,1
105,0.4,0.95,1
106,0,0.95,1
107,0.02,0.95,33
108,0.04,0.95,30
109,0.06,0.95,22
110,0.08,0.95,1
111,0.1,0.95,21
112,0.12,0.95,1
113,0.14,0.95,1
114,0.16,0.95,1
115,0.18,0.95,1
116,0.2,0.95,1
117,0.22,0.95,1
118,0.24,0.95,1
119,0.26,0.95,1
120,0.28,0.95,1
121,0.3,0.95,1
122,0.32,0.95,1
123,0.34,0.95,1
124,0.36,0.95,1
125,0.38,0.95,1
126,0.4,0.95,1
127,0,0.95,1
128,0.02,0.95,35
129,0.04,0.95,27
130,0.06,0.95,25
131,0.08,0.95,28
132,0.1,0.95,1
133,0.12,0.95,1
134,0.14,0.95,1
135,0.16,0.95,1
136,0.18,0.95,1
137,0.2,0.95,1
138,0.22,0.95,1
139,0.24,0.95,1
140,0.26,0.95,1
141,0.28,0.95,1
142,0.3,0.95,1
143,0.32,0.95,1
144,0.34,0.95,1
145,0.36,0.95,1
146,0.38,0.95,1
147,0.4,0.95,1
148,0,0.95,1
149,0.02,0.95,30
150,0.04,0.95,31
151,0.06,0.95,26
152,0.08,0.95,23
153,0.1,0.95,1
154,0.12,0.95,1
155,0.14,0.95,1
156,0.16,0.95,1
