,disturbance_frequency,disturbance_mortality,optimal_spacing
1,0,0.95,11
2,0.06,0.95,26
3,0.12,0.95,11
4,0.18,0.95,10
5,0.24,0.95,10
6,0.3,0.95,11
7,0.36,0.95,6
8,0,0.95,11
9,0.06,0.95,29
10,0.12,0.95,10
11,0.18,0.95,11
12,0.24,0.95,11
13,0.3,0.95,11
14,0.36,0.95,10
15,0,0.95,11
16,0.06,0.95,31
17,0.12,0.95,11
18,0.18,0.95,11
19,0.24,0.95,11
20,0.3,0.95,11
21,0.36,0.95,10
22,0,0.75,11
23,0.06,0.75,23
24,0.12,0.75,19
25,0.18,0.75,11
26,0.24,0.75,10
27,0.3,0.75,11
28,0.36,0.75,11
29,0,0.75,11
30,0.06,0.75,26
31,0.12,0.75,24
32,0.18,0.75,11
33,0.24,0.75,11
34,0.3,0.75,11
35,0.36,0.75,10
36,0,0.75,11
37,0.06,0.75,27
38,0.12,0.75,25
39,0.18,0.75,16
40,0.24,0.75,11
41,0.3,0.75,10
42,0.36,0.75,11
43,0,0.5,11
44,0.06,0.5,11
45,0.12,0.5,18
46,0.18,0.5,18
47,0.24,0.5,21
48,0.3,0.5,10
49,0.36,0.5,9
50,0,0.5,11
51,0.06,0.5,11
52,0.12,0.5,21
53,0.18,0.5,18
54,0.24,0.5,18
55,0.3,0.5,11
56,0.36,0.5,11
57,0,0.5,11
58,0.06,0.5,11
59,0.12,0.5,21
60,0.18,0.5,19
61,0.24,0.5,19
62,0.3,0.5,16
63,0.36,0.5,11
