fishing_values_vec,r_value_vec,omega_value_vec,dispersal_value_vec,disturbance_prob_vec,disturbance_size_vec,disturbance_magnitude_vec,objective_vec,optimal_spacing,mean_objective_value
1,3,1.2,0.7,0,1,0.95,persistence,1,4703
1,3,1.2,0.7,0.0025,1,0.95,persistence,1,4624
1,3,1.2,0.7,0.005,1,0.95,persistence,3,4488
1,3,1.2,0.7,0.0075,1,0.95,persistence,3,4401
1,3,1.2,0.7,0.01,1,0.95,persistence,3,4186
1,3,1.2,0.7,0.0125,1,0.95,persistence,3,3941
1,3,1.2,0.7,0.015,1,0.95,persistence,3,3717
1,3,1.2,0.7,0.0175,1,0.95,persistence,1,3527
1,3,1.2,0.7,0.02,1,0.95,persistence,1,3269
1,3,1.2,0.7,0.0225,1,0.95,persistence,1,3137
1,3,1.2,0.7,0.025,1,0.95,persistence,2,2946
1,3,1.2,0.7,0.0275,1,0.95,persistence,1,2774
1,3,1.2,0.7,0.03,1,0.95,persistence,1,2610
